DATES,U Revenue,D CR,U OE,U NOI,D CAPEX,D WK,U FCF
2019-01-20,11068.17143299795,4900.933829091062,15170.4550323579,884.1559053852448,1208.89506811563,80476.25460039433,9751.837886378378
2019-01-27,10811.657300289924,4777.7575185566275,14892.0078433467,860.8870064631901,1208.89506811563,76764.59533490459,9675.501099150928
2019-02-03,10555.143167581899,4654.581208022193,14613.5606543355,837.6181075411356,1208.89506811563,73052.93606941486,9599.164311923478
2019-02-10,10298.629034873875,4531.40489748776,14335.1134653243,814.3492086190811,1208.89506811563,69341.27680392512,9522.827524696026
2019-02-17,10042.11490216585,4408.228586953325,14056.6662763131,791.0803096970265,1208.89506811563,65629.6175384354,9446.490737468575
2019-02-24,9785.600769457824,4285.052276418891,13778.2190873019,767.8114107749718,1208.89506811563,61917.95827294566,9370.153950241125
2019-03-03,9529.0866367498,4161.875965884457,13499.7718982907,744.5425118529173,1208.89506811563,58206.299007455935,9293.817163013673
2019-03-10,9272.572504041775,4038.699655350023,13221.3247092795,721.2736129308628,1208.89506811563,54494.639741966195,9217.480375786223
2019-03-17,9016.058371333751,3915.5233448155886,12942.877520268301,698.0047140088082,1208.89506811563,50782.98047647646,9141.143588558773
2019-03-24,8759.544238625725,3792.3470342811547,12664.430331257101,674.7358150867535,1208.89506811563,47071.32121098673,9064.80680133132
2019-03-31,8503.0301059177,3669.170723746721,12385.983142245901,651.466916164699,1208.89506811563,43359.661945497,8988.47001410387
2019-04-07,8450.733101602891,3562.6043017604575,12283.261751679462,651.466916164699,1208.89506811563,43912.835749359765,8951.548533261526
2019-04-14,8398.436097288082,3456.0378797741946,12180.540361113024,651.466916164699,1208.89506811563,44466.00955322254,8914.627052419182
2019-04-21,8346.139092973275,3349.4714577879313,12077.818970546585,651.466916164699,1208.89506811563,45019.183357085305,8877.705571576838
2019-04-28,8293.842088658466,3242.9050358016684,11975.097579980147,651.466916164699,1208.89506811563,45572.35716094808,8840.784090734494
2019-05-05,8241.545084343657,3136.338613815405,11872.376189413708,651.466916164699,1208.89506811563,46125.530964810845,8803.86260989215
2019-05-12,8189.2480800288495,3029.772191829142,11769.65479884727,651.466916164699,1208.89506811563,46678.70476867361,8766.941129049806
2019-05-19,8136.951075714041,2923.205769842879,11666.933408280831,651.466916164699,1208.89506811563,47231.878572536385,8730.019648207463
2019-05-26,8084.654071399233,2816.6393478566156,11564.212017714393,651.466916164699,1208.89506811563,47785.05237639915,8693.098167365119
2019-06-02,8032.357067084424,2710.0729258703523,11461.490627147954,651.466916164699,1208.89506811563,48338.22618026192,8656.176686522775
2019-06-09,7980.060062769616,2603.5065038840894,11358.769236581516,651.466916164699,1208.89506811563,48891.39998412469,8619.25520568043
2019-06-16,7927.763058454807,2496.940081897826,11256.047846015077,651.466916164699,1208.89506811563,49444.57378798746,8582.333724838087
2019-06-23,7875.466054139999,2390.3736599115628,11153.326455448638,651.466916164699,1208.89506811563,49997.74759185023,8545.412243995743
2019-06-30,7823.16904982519,2283.8072379253,11050.6050648822,651.466916164699,1208.89506811563,50550.921395713,8508.490763153399
2019-07-07,7895.629356291406,2263.4788386721743,11801.107391757707,655.8556276409751,1217.6299917526992,50432.02785562871,8654.221407788427
2019-07-14,7968.089662757621,2243.1504394190483,12551.609718633214,660.2443391172511,1226.3649153897686,50313.13431554441,8799.952052423456
2019-07-21,8040.549969223837,2222.8220401659228,13302.112045508722,664.6330505935272,1235.0998390268378,50194.240775460115,8945.682697058484
2019-07-28,8113.010275690052,2202.493640912797,14052.614372384229,669.0217620698032,1243.8347626639072,50075.347235375826,9091.413341693513
2019-08-04,8185.470582156268,2182.165241659671,14803.116699259735,673.4104735460793,1252.5696863009764,49956.45369529154,9237.143986328541
2019-08-11,8257.930888622484,2161.8368424065457,15553.619026135242,677.7991850223553,1261.3046099380458,49837.56015520724,9382.874630963572
2019-08-18,8330.3911950887,2141.5084431534196,16304.121353010749,682.1878964986315,1270.039533575115,49718.666615122944,9528.6052755986
2019-08-25,8402.851501554915,2121.180043900294,17054.623679886256,686.5766079749076,1278.7744572121842,49599.773075038654,9674.335920233629
2019-09-01,8475.311808021132,2100.8516446471685,17805.126006761762,690.9653194511836,1287.5093808492536,49480.879534954365,9820.066564868657
2019-09-08,8547.772114487347,2080.5232453940425,18555.628333637273,695.3540309274597,1296.2443044863228,49361.98599487007,9965.797209503686
2019-09-15,8620.232420953562,2060.194846140917,19306.130660512776,699.7427424037357,1304.9792281233922,49243.09245478577,10111.527854138714
2019-09-22,8692.692727419777,2039.8664468877912,20056.632987388286,704.1314538800118,1313.7141517604614,49124.19891470148,10257.258498773743
2019-09-29,8765.153033885994,2019.5380476346656,20807.13531426379,708.5201653562879,1322.4490753975308,49005.30537461719,10402.989143408771
2019-10-06,8837.613340352209,1999.2096483815399,21557.6376411393,712.9088768325639,1331.1839990346,48886.4118345329,10548.7197880438
2019-10-13,8978.60929279787,1974.6581327685415,21600.87909197747,708.1990661749255,1333.0004722009553,48294.008443792605,10548.7197880438
2019-10-20,9119.60524524353,1950.1066171555428,21644.12054281564,703.4892555172871,1334.8169453673108,47701.60505305231,10548.7197880438
2019-10-27,9260.601197689191,1925.5551015425444,21687.361993653805,698.7794448596487,1336.6334185336661,47109.20166231202,10548.7197880438
2019-11-03,9401.597150134852,1901.003585929546,21730.603444491975,694.0696342020104,1338.4498917000215,46516.79827157173,10548.7197880438
2019-11-10,9542.593102580513,1876.4520703165474,21773.844895330145,689.359823544372,1340.266364866377,45924.39488083144,10548.7197880438
2019-11-17,9683.589055026174,1851.900554703549,21817.086346168315,684.6500128867336,1342.0828380327323,45331.991490091146,10548.7197880438
2019-11-24,9824.585007471835,1827.3490390905506,21860.32779700648,679.9402022290952,1343.8993111990876,44739.588099350854,10548.7197880438
