DATES,D Revenue,U CR,D OE,D NOI,U CAPEX,U WK,D FCF
2019-01-27,18500.341610946376,1527.314355697955,7758.249969315338,3886.158785763928,2161.6663814546127,164225.49807654877,14998.379485532974
2019-02-03,17972.518097733402,1528.1503064730834,7895.804919204317,3669.4359491325135,2157.281433575447,163898.42430513536,14797.183526641033
2019-02-10,17444.694584520425,1528.9862572482118,8033.359869093296,3452.713112501099,2152.896485696281,163571.35053372194,14595.98756774909
2019-02-17,16916.87107130745,1529.82220802334,8170.914818982275,3235.9902758696853,2148.511537817115,163244.2767623085,14394.791608857151
2019-02-24,16389.047558094477,1530.6581587984683,8308.469768871255,3019.267439238271,2144.126589937949,162917.20299089508,14193.59564996521
2019-03-03,15861.2240448815,1531.4941095735967,8446.024718760234,2802.5446026068566,2139.7416420587833,162590.12921948166,13992.399691073268
2019-03-10,15333.400531668525,1532.330060348725,8583.579668649214,2585.8217659754428,2135.3566941796175,162263.05544806825,13791.203732181326
2019-03-17,14805.57701845555,1533.1660111238534,8721.134618538192,2369.0989293440284,2130.9717463004517,161935.98167665483,13590.007773289384
2019-03-24,14277.753505242574,1534.0019618989818,8858.689568427171,2152.376092712614,2126.586798421286,161608.90790524142,13388.811814397443
2019-03-31,13749.9299920296,1534.8379126741102,8996.24451831615,1935.6532560812,2122.20185054212,161281.834133828,13187.6158555055
2019-04-07,13417.458980444899,1647.7541503455163,9007.175882943859,1806.8854366077107,2107.604699018523,159985.88147946878,13232.920504384823
2019-04-14,13084.987968860198,1760.6703880169225,9018.107247571568,1678.1176171342213,2093.0075474949263,158689.92882510953,13278.225153264146
2019-04-21,12752.516957275495,1873.5866256883287,9029.038612199276,1549.349797660732,2078.4103959713293,157393.9761707503,13323.52980214347
2019-04-28,12420.045945690794,1986.5028633597349,9039.969976826984,1420.5819781872428,2063.8132444477324,156098.02351639108,13368.834451022793
2019-05-05,12087.574934106093,2099.419101031141,9050.901341454693,1291.8141587137534,2049.2160929241354,154802.07086203183,13414.139099902115
2019-05-12,11755.103922521392,2212.3353387025472,9061.832706082401,1163.0463392402642,2034.6189414005385,153506.1182076726,13459.443748781438
2019-05-19,11422.632910936689,2325.251576373953,9072.764070710109,1034.278519766775,2020.0217898769417,152210.1655533134,13504.748397660762
2019-05-26,11090.161899351988,2438.1678140453596,9083.695435337817,905.5107002932855,2005.4246383533448,150914.21289895417,13550.053046540084
2019-06-02,10757.690887767287,2551.0840517167653,9094.626799965527,776.7428808197963,1990.8274868297478,149618.26024459492,13595.357695419407
2019-06-09,10425.219876182586,2664.000289388172,9105.558164593234,647.9750613463068,1976.230335306151,148322.3075902357,13640.66234429873
2019-06-16,10092.748864597885,2776.9165270595777,9116.489529220942,519.2072418728176,1961.633183782554,147026.35493587647,13685.966993178054
2019-06-23,9760.277853013184,2889.832764730984,9127.420893848652,390.43942239932835,1947.036032258957,145730.40228151722,13731.271642057376
2019-06-30,9427.80684142848,3002.74900240239,9138.35225847636,261.671602925839,1932.43888073536,144434.449627158,13776.576290936699
2019-07-07,9406.277112798536,3084.0855304161564,9056.87946811609,261.34330655170737,1931.793795699658,142317.65533405665,13776.576290936699
2019-07-14,9384.747384168591,3165.422058429923,8975.406677755822,261.01501017757573,1931.1487106639559,140200.8610409553,13776.576290936699
2019-07-21,9363.217655538645,3246.7585864436896,8893.933887395551,260.6867138034441,1930.5036256282535,138084.06674785394,13776.576290936699
2019-07-28,9341.6879269087,3328.095114457456,8812.461097035282,260.35841742931245,1929.8585405925514,135967.27245475256,13776.576290936699
2019-08-04,9320.158198278756,3409.4316424712224,8730.988306675014,260.0301210551808,1929.2134555568493,133850.4781616512,13776.576290936699
2019-08-11,9298.628469648811,3490.768170484989,8649.515516314745,259.7018246810492,1928.5683705211472,131733.68386854985,13776.576290936699
2019-08-18,9277.098741018865,3572.104698498755,8568.042725954474,259.3735283069175,1927.923285485445,129616.8895754485,13776.576290936699
2019-08-25,9255.56901238892,3653.4412265125216,8486.569935594205,259.04523193278584,1927.2782004497428,127500.09528234715,13776.576290936699
2019-09-01,9234.039283758975,3734.777754526288,8405.097145233936,258.7169355586542,1926.6331154140407,125383.30098924579,13776.576290936699
2019-09-08,9212.50955512903,3816.114282540055,8323.624354873667,258.38863918452256,1925.9880303783386,123266.50669614442,13776.576290936699
2019-09-15,9190.979826499086,3897.450810553821,8242.151564513399,258.0603428103909,1925.3429453426365,121149.71240304307,13776.576290936699
